url;label;tags;lang;priority
https://uve.zendesk.com/hc/en-us/sections/39296282019603-FAQ;Uventex Help Center – FAQ;platform:uventex,faq,en;en;1
https://fitofan.com/;Fitofan (overview);platform:fitofan,overview,en;en;1
https://karatesunfuki.com/regles-du-dojo/;Sunfuki – Règles du dojo;center:sunfuki,dojo,regles,fr;fr;1
https://kickboxingeurope.com/wp-content/uploads/2023/02/04-03-01WAKO-EQUIPMENT-BOOK-rev.6-04.05.2022.pdf;WAKO Equipment Book (2022);org:wako,equipement,pdf,en;en;2
https://wakousa.org/wp-content/uploads/2025/05/Tatami-General-Rules.pdf;WAKO Tatami General Rules (2025);org:wako,regles,tatami,pdf,en;en;2
https://wakousa.org/wp-content/uploads/2025/05/K1-Rules.pdf;WAKO K1 Rules (2025);org:wako,regles,k1,pdf,en;en;2
https://www.wakocanada.org/assets/documents/manuals/R%C3%A8gles-et-R%C3%A8glements.pdf;Wako Equipement;org:wako,equipement,pdf,en;fr;1
https://www.wkccanada.com/wp-content/uploads/2025/01/point_sparring_2025_v2.pdf;WKC Point fight;org:wkc,point-fight,regles,pdf,en;en;1
https://www.wkccanada.com/wp-content/uploads/2025/01/wkc-kata-2025_v2.pdf;WKC Kata & Weapons;org:wkc,kata,kobudo,regles,pdf,en;en;1
https://www.wkcworld.com/wp-content/uploads/wkc_para_rules_2024.pdf;WKC Para;org:wkc,kata,kobudo,regles, para,pdf,en;en;1
https://www.wkccanada.com/competition-rules/;WKC Kata & Weapons;org:wak;en;2
https://www.wkccanada.com/wp-content/uploads/2025/06/wkc_continuous_point_sparring_2025_v5.pdf;WKC Point sparring;org:wkc,point sparring,regles,pdf,en;en;2
https://uve.zendesk.com/hc/en-us/articles/39471452515603-How-to-register-competitors-club-registration;Uventex Help Center – FAQ;platform:uventex,faq,en;en;2
https://qfxdmn-i3.myshopify.com/pages/calendrier;Calendrier;Calendar;fr;1
https://wakocanada.org/news-events/events/;Calendrier;Calendar;fr;2
https://www.wkccanada.com/tournaments/;Calendrier;Calendar;fr;3
https://www.wkccanada.com/world-championships/;WKC World tounrament;org:wkc, tournament;en;1
